NaviAddr	StreetAddr
760100	Hjortshøjparken 76
760101	Hjortshøjvangen 76
760102	Holme Parkvej 76A
760103	Holme Parkvej 76B
760104	Holmetoften 76
760105	Holmkærvej 76
760106	Holmstruphøjvej 76
760107	Hovedgaden 76
760108	Hovedvejen 76
760109	Humlehaven, Haveforening 76
760110	Hvedebjergvej 76
760111	Hyldehaven 76
760112	Højager 76
760113	Højvangsvej 76
760114	Hørhavevej 76
760115	Hørretløkken 76
760116	Hørretvej 76
760117	I.P.Jacobsens Vej 76
760118	Ingerslevvej 76
760119	Jarlsmindevej 76
760120	Jens Baggesens Vej 76
760121	Johannes Ewalds Vej 76
760122	Julsøvej 76
760123	Jægergårdsgade 76
760124	Jægergårdsgade 76C
760125	Jægergårdsgade 76A
760126	Kalkærparken 76
760127	Kanehaven 76
760128	Karensvej 76
760129	Karetmagertoften 76
760130	Kastanjehaven 76
760131	Ketting Parkvej 76
760132	Kildehaven 76
760133	Kildehøjen 76
760134	Kirkevænget 76
760135	Kirsebærhaven 76
760136	Klokkerbakken 76
760137	Klokkerfaldet 76
760138	Klostergade 76
760139	Kløvervangen 76
760140	Kolt Kirkevej 76
760141	Kolt Østerparken 76
760142	Kornbakke Alle 76
760143	Kornelvej 76
760144	Kornmodsbakken 76
760145	Korshøjen 76
760146	Krekærlunds Alle 76
760147	Kresten Kolds Vej 76
760148	Krogagre 76
760149	Kunnerupvej 76
760150	Kærgårdsparken 76
760151	Kærgårdsvej 76
760152	Ladefogedvej 76
760153	Langballevej 76
760154	Langballevænget 76
760155	Langelinie 76
760156	Langenæs Alle 76
760157	Langørvej 76
760158	Laskedalen 76
760159	Laurbærvænget 76
760160	Lauritshøj 76
760161	Lerdalen 76
760162	Lykkesholms Alle 76
760163	Lystruplund 76
760164	Lærkehaven 76
760165	Løgten Østervej 76
760166	Løgtenvej 76
760167	Løgtenvej 76A
760168	Løgtenvej 76B
760169	Majsmarken 76
760170	Majsvænget 76
760171	Marienlyst, Haveforening 76
760172	Marselis Boulevard 76
760173	Mejlgade 76
760174	Moselund, Haveforening 76
760175	Moselunden 76
760176	Mosegårdsparken 76
760177	Mosevang, Haveforening 76
760178	Møddebro Parkvej 76
760179	Neptunvej 76
760180	Niels Juels Gade 76
760181	Nordlandsvej 76
760182	Nordre Strandvej 76
760183	Nordrevej 76
760184	Nordvestpassagen 76
760185	Ny Munkegade 76
760186	Nygårdsvej 76
760187	Nyløkkevej 76
760188	Nymarks Alle 76
760189	Nyringen 76
760190	Næringen 76
760191	Næshøjvej 76
760192	Nødkær Alle 76
760193	Nørre Alle 76
760194	Nørre Alle 76B
760195	Nørrevænget 76
760196	Oldjorden, Haveforening 76
760197	Ole Rømers Gade 76
760198	Ole Rømers Gade 76A
760199	Onsholtvej 76
760200	Onsholtgårdsvej 76
760201	Ormslevvej 76
760202	Pilegårdsvej 76
760203	Pilevangen 76
760204	Pottemagertoften 76
760205	Præsteager 76
760206	Præstegårdsvej 76
760207	Præstehaven 76
760208	Ravnholtvej 76
760209	Risskov Haveforening 76
760210	Rosenvangs Alle 76
760211	Roukær Alle 76
760212	Rugbjergvej 76
760213	Rugmarken 76
760214	Rundhøj Alle 76
760215	Rundhøj Alle 76A
760216	Rundhøj Alle 76B
760217	Rundhøj Alle 76C
760218	Rundhøj Alle 76D
760219	Rundhøj Alle 76E
760220	Rundhøj Alle 76F
760221	Rundhøj Alle 76G
760222	Rundhøj Alle 76H
760223	Ryhaven 76
760224	Rymarken 76
760225	Rødlundvej 76
760226	Rønnehaven 76
760227	Rønnevangen 76
760228	Råhøjparken 76
760229	Sadelmagertoften 76
760230	Salamanderparken 76
760231	Salamandervænget 76
760232	Samsøgade 76
760233	Sandbakken 76
760234	Sandkåsvej 76
760235	Sandmosevej 76
760236	Silkeborgvej 76
760237	Skejbygårdsvej 76
760238	Skejby Vænge 76
760239	Skelagervej 76
760240	Skejbyparken 76
760241	Skoleparken 76
760242	Skovhøj 76
760243	Skovlundgårdsvej 76
760244	Skovlunden, Haveforening 76
760245	Skovparken 76
760246	Skærgårdsparken 76
760247	Skæring Hedevej 76
760248	Skæring Parkvej 76
760249	Skæring Sandager 76
760250	Skæringvangen 76
760251	Skødstrupbakken 76
760252	Skåde Højgårdsvej 76
760253	Sletvej 76
760254	Snogebæksvej 76
760255	Solbjerg Hovedgade 76
760256	Solbjerg Hedevej 76
760257	Solbærhaven 76
760258	Solvangen, Haveforening 76
760259	Sommersmindevej 76
760260	Spobjergvej 76
760261	St.Blichers Vej 76
760262	Stadion Alle 76
760263	Stavnsvej 76
760264	Stennehøj Alle 76
760265	Stokbrovej 76
760266	Storskovvej 76
760267	Storskovvej 76C
760268	Strandvangsvej 76
760269	Søholm, Haveforening 76
760270	Søhøjen 76
760271	Søndergade 76
760272	Søskrænten 76
760273	Søvang, Haveforening 76
760274	Terp Skovvej 76
760275	Thomas Thaarups Vej 76
760276	Tilst Søndervej 76A
760277	Tilst Søndervej 76B
760278	Tilst Søndervej 76C
760279	Tilst Søndervej 76D
760280	Tilst Søndervej 76E
760281	Tilst Søndervej 76F
760282	Tingskov Alle 76
760283	Tingskovparken 76
760284	Tingskovvej 76
760285	Tingstedet 76
760286	Tisetvej 76
760287	Tordenskjoldsgade 76
760288	Tornebakken 76
760289	Tornhøjvej 76
760290	Torshøjvænget 76
760291	Torstilgårdsvej 76
760292	Torvevænget 76
760293	Tousvej 76
760294	Tranbjerg Hovedgade 76
760295	Trankærgårdsvej 76
760296	Trankær Vænge 76
760297	Trige Centervej 76
760298	Trige Møllevej 76
760299	Trillegården, Haveforening 76
760300	Trillegårdsvej 76
760301	Tronkærgårdsvej 76
760302	Tronkærvej 76
760303	Trøjborgvej 76
760304	Udsigten 76
760305	Urmagertoften 76
760306	Veilgårdsparken 76
760307	Vejlby Toften 76
760308	Vejlby Vænge 76
760309	Vestergårdsvangen 76
760310	Vesterled, Haveforening 76
760311	Vestermøllevej 76
760312	Vestre Ringgade 76B
760313	Vestre Ringgade 76A
760314	Vestre Ringgade 76
760315	Vestre Strandalle 76
760316	Viborgvej 76
760317	Vilhelm Becks Vej 76
760318	Virup Skovvej 76
760319	Visbjerg Hegn 76
760320	Vistoftparken 76
760321	Voldbækvej 76
760322	Vosnæsparken 76
760323	Willemoesgade 76
760324	Ørvadsvej 76
760325	Østerby Alle 76
760326	Østergårdstoften 76
760327	Østerløkken 76
760328	Østermarksvej 76
760329	Åbrinken, Haveforening 76A
760330	Åbrinken, Haveforening 76
760331	Åbyhøjgård 76
760332	Åtoften 76
750003	Abildhaven 75
750004	Ajstrup Strandvej 75
750005	Araliavej 75
750006	Balagervej 75
750007	Balskærvej 75
750008	Bangsboparken 75
750009	Bavnegårdsvej 75
750010	Bavnebakken 75A
750011	Bavnebakken 75B
750012	Bendstrupvej 75
750013	Bernstorffsvej 75
750014	Bethesdavej 75
750015	Bispehavevej 75
750016	Bjødstrupvej 75
750017	Blomsterlunden 75
750018	Blåbærhaven 75
750019	Bredkær Tværvej 75
750020	Brobjerg Parkvej 75
750021	Bronzealdervej 75
750022	Brovænget 75
750023	Buggesgårdvej 75
750024	Bushøjvænget 75
750025	Byagervej 75
750026	Byagervænget 75
750027	Bymosevej 75
750028	Bysmedevej 75
750029	Bærmosehøjen 75
750030	Bøgeskov Høvej 75
750031	Bøgeskovparken 75
750032	Børupvej 75
750033	Charlottehøj, Haveforening 75
750034	Chr.Winthers Vej 75
750035	Damgårdstoften 75
750036	Drejøvænget 75
750037	Edwin Rahrs Vej 75
750038	Egebjergvej 75
750039	Egebæksvej 75
750040	Egevangen 75
750041	Ellebrinken 75
750042	Elleparken 75
750043	Elmehaven 75
750044	Elstedvej 75
750045	Elverdalsvej 75
750046	Emiliedalen 75
750047	Engdalsvej 75
750048	Engelstoft 75
750049	Engelundsvej 75
750050	Enghaven, Haveforening 75
750051	Engskovbakken 75
750052	Espedalen 75
750053	Fenrisvej 75
750054	Flintebakken 75
750055	Fredensborgparken 75
750056	Frederiks Alle 75A
750057	Frederiks Alle 75B
750058	Frederiks Alle 75C
750059	Frederiksgade 75
750060	Frederiksgade 75B
750061	Fridtjof Nansens Vej 75
750062	Frydenlund, Haveforening 75
750063	Frydenlunds Alle 75
750064	Fuglesangs Alle 75
750065	Fårupvej 75
750066	Gammel Horsensvej 75
750067	Gammel Kirkevej 75
750068	Gammel Landevej 75
750069	Gartnerhaven 75
750070	Gartnerparken 75
750071	Gartnervænget 75
750072	Grænsen, Haveforening 75
750073	Græsvangen 75
750074	Grønhøjvej 75
750075	Grønnegade 75
750076	Haslegårdsvej 75
750077	Haslevangsvej 75
750078	Hasselbakken 75
750079	Hasselhøj 75
750080	Hasselengen 75
750081	Hasselvangen 75
750082	Hattemagertoften 75
750083	Havbakkevej 75
750084	Havkærvej 75
750085	Helenelyst 75
750086	Herredsvej 75
750087	Hindbærhaven 75
750088	Hjortshøj Møllevej 75
750089	Hjortshøjparken 75
750090	Hjulbjergvej 75
750091	Holme Parkvej 75
750092	Holmegårdsvej 75
750093	Holmkærvej 75
750094	Holmstruphøjvej 75
750095	Horsevænget 75
750096	Hovedgaden 75
750097	Humlehaven, Haveforening 75
750098	Hybenhaven 75
750099	Højager 75
750100	Højballevej 75
750101	Højlundsparken 75
750102	Højvangsvej 75
750103	Hørhavevej 75A
750104	Hørhavevej 75
750105	Illerupvej 75
750106	Ivar Huitfeldts Gade 75
750107	Ivar Huitfeldts Gade 75B
750108	Jegstrupvej 75
750109	Jegstrupvænget 75
750110	Jernaldervænget 75
750111	Johannes Ewalds Vej 75
750112	Kalkærparken 75
750113	Kanehaven 75
750114	Kantorparken 75
750115	Karetmagertoften 75
750116	Katrinebjergvej 75
750117	Kattrupvej 75
750118	Kildeagervej 75
750119	Kirkebakken 75
750120	Kirsebærhaven 75
750121	Kirsebærvej 75
750122	Klokkeblomstvej 75
750123	Klokkerbakken 75
750124	Klokkerfaldet 75
750125	Klokkeskovvej 75
750126	Kløvervangen 75
750127	Koldkilde 75
750128	Kolt Kirkevej 75
750129	Kornbakke Alle 75
750130	Korshøjen 75
750131	Krekærlunds Alle 75
750132	Krekærvangen 75
750133	Kridthøjvænge 75
750134	Krogagre 75
750135	Kunneruphøj 75
750136	Kærgårdsparken 75
750137	Kærgårdsvej 75
750138	L.A.Rings Vej 75
750139	Ladefogedvej 75
750140	Langdalsvej 75
750141	Langelinie 75
750142	Langengevej 75
750143	Langørvej 75
750144	Laskedalen 75
750145	Lerdalen 75
750146	Lindenborgvej 75
750147	Lollandsgade 75
750148	Lykkensdalsvej 75
750149	Lystenlund 75
750150	Lystrupvej 75
750151	Læssøesgade 75
750152	Løgten Østervej 75
750153	Majsvænget 75
750154	Mallinggårdsvej 75
750155	Manbjergvej 75
750156	Marienlyst, Haveforening 75
750157	Markskellet 75
750158	Marselis Boulevard 75
750159	Mejlbyparken 75
750160	Mejlgade 75
750161	Moselund, Haveforening 75
750162	Mosegårdsparken 75
750163	Mosevang, Haveforening 75
750164	Mustrupvej 75
750165	Myrholmsvej 75
750166	Møddebro Parkvej 75
750167	Møllevangs Alle 75
750168	Nedergårdsvej 75
750169	Neptunvej 75
750170	Niels Juels Gade 75
750171	Nordre Strandvej 75
750172	Nordvestpassagen 75
750173	Ny Munkegade 75
750174	Nymarks Alle 75
750175	Nyringen 75
750176	Nyringen 75A
750177	Næringen 75
750178	Nødkær Alle 75
750179	Nørre Alle 75
750180	Nørreport 75
750181	Oddervej 75
750182	Oldjorden, Haveforening 75
750183	Ole Rømers Gade 75
750184	Orholt Alle 75
750185	Ormslevvej 75
750186	P.Hiort-Lorenzens Vej 75
750187	Poul Martin Møllers Vej 75
750188	Palle Juul-Jensens Boulevard 75
750189	Pallisvej 75
750190	Paludan-Müllers Vej 75
750191	Pilegårdsvej 75
750192	Pottemagertoften 75
750193	Præstegårdsvej 75
750194	Præstehaven 75
750195	Præstetoften 75
750196	Randersvej 75
750197	Ranunkelvej 75
750198	Ravnholtvej 75
750199	Risskov Haveforening 75
750200	Risvang Alle 75
750201	Rolighedsvej 75
750202	Rosendalvej 75
750203	Rosenvangs Alle 75
750204	Rugbjergvej 75
750205	Rugmarken 75
750206	Rundhøj Alle 75
750207	Runevej 75
750208	Rydevænget 75
750209	Ryhaven 75
750210	Rønnehaven 75
750211	Rønnevangen 75
750212	Råhøjparken 75
750213	Råhøjvej 75
750214	Sabro Vænge 75
750215	Sadelmagertoften 75
750216	Salonikivej 75
750217	Samsøgade 75
750218	Sandbakken 75
750219	Segaltvej 75
750220	Sensommervej 75
750221	Sjællandsgade 75
750222	Skejbyvej 75
750223	Skelagervej 75
750224	Skejbytoften 75
750225	Skejbyparken 75
750226	Skodshøjen 75
750227	Skoleparken 75
750228	Skovgårdsvænget 75
750229	Skovhøj 75
750230	Skovlunden, Haveforening 75
750231	Skovmøllevej 75
750232	Skovvejen 75
750233	Skovvejen 75B
750234	Skæring Egager 75
750235	Skæring Havvej 75
750236	Skæring Sandager 75
750237	Skødstrupbakken 75
750238	Skåde Højgårdsvej 75
750239	Skåde Skovvej 75
750240	Smedegårds Alle 75
750241	Solbjerg Hovedgade 75
750242	Solbjerg Hedevej 75
750243	Solbærhaven 75
750244	Solvangen, Haveforening 75
750245	Spobjergvej 75
750246	St.Blichers Vej 75
750247	Stationsvangen 75
750248	Stavnsvej 75
750249	Stavtrupvej 75
750250	Stenaldervej 75
750251	Stenhøjgårdsvej 75
750252	Stennehøj Alle 75
750253	Stenrosevej 75
750254	Stenvej 75
750255	Stokbrovej 75
750256	Stokrosevej 75
750257	Storskovvej 75
750258	Svanlevvej 75
750259	Svendgårdsvej 75
750260	Sydbakken 75
750261	Søholm, Haveforening 75
750262	Søhøjen 75
750263	Sønderholmvej 75
750264	Sønderskovvej 75
750265	Søndre Ringgade 75
750266	Søskrænten 75
750267	Søvang, Haveforening 75
750268	Teglbakken 75
750269	Tilst Parkvej 75
750270	Tingskov Alle 75
750271	Tingskovvej 75
750272	Tisetvej 75
750273	Tordenskjoldsgade 75
750274	Tornballevej 75
750275	Tornebakken 75
750276	Tornhøjvej 75
750277	Torpevænget 75A
750278	Torpevænget 75B
750279	Torpevænget 75C
750280	Trankærgårdsvej 75
750281	Trankær Vænge 75
750282	Tretommervej 75
750283	Trige Centervej 75
750284	Trige Centervej 75A
750285	Trillegården, Haveforening 75
750286	Trillegårdsvej 75
750287	Tronkærgårdsvej 75
750288	Tronkærlund 75
750289	Tværgade 75
750290	Tværmarksvej 75
750291	Urebjergvej 75
750292	Urmagertoften 75
750293	Vejlby Ringvej 75
750294	Vejlby Toften 75
750295	Vejlby Vænge 75
750296	Vestergade 75
750297	Vesterled, Haveforening 75
750298	Vestre Strandalle 75
750299	Vibyvej 75
750300	Vilhelm Becks Vej 75
750301	Virup Skovvej 75
750302	Virupvej 75
750303	Visbjerg Hegn 75
750304	Vistoftparken 75
750305	Vårkjærvej 75
750306	Østergårdsparken 75
750307	Østerløkken 75
750308	Østermarksvej 75
750309	Åbrinken, Haveforening 75A
750310	Åbrinken, Haveforening 75B
750311	Åbrinken, Haveforening 75
750312	Åbyvej 75
750313	Årslev Møllevej 75
750314	Åvænget 75
740001	Abildgade 74
740002	Abildhaven 74
740003	Ajstrup Strandvej 74
740004	Araliavej 74
740005	Arnakvej 74
740006	Asmusgårdsvej 74
740007	Attikavej 74
740008	Balagervej 74
740009	Bangsboparken 74
740010	Baunevej 74
740011	Bavnegårdsvej 74
740012	Bavnebakken 74A
740013	Bavnebakken 74B
740014	Beder Landevej 74
740015	Bedervej 74
740016	Bendstrupvej 74
740017	Bethesdavej 74
740018	Bjørnholt 74
740019	Blomstervej 74
740020	Bodøvej 74
740021	Brabrand Skovvej 74
740022	Bredkær Tværvej 74
740023	Brendstrupvej 74
740024	Brendstrupvej 74A
740025	Brobjerg Parkvej 74
740026	Brombærhaven 74
740027	Bronzealdervej 74A
740028	Bronzealdervej 74B
740029	Bronzealdervænget 74
740030	Brynhøjvænget 74
740031	Bugthusene 74
740032	Byagervej 74A
740033	Byagervej 74B
740034	Byagervænget 74
740035	Bymosevej 74
740036	Bøgevænget 74
740037	Børupvej 74
740038	Charlottehøj, Haveforening 74
740039	Chr.Winthers Vej 74
740040	Christian X's Vej 74
740041	Dagmar Petersens Gade 74
740042	Dalgas Avenue 74
740043	Damgårdstoften 74
740044	Damvej 74
740045	Edwin Rahrs Vej 74
740046	Egebæksvej 74A
740047	Egebæksvej 74B
740048	Egevangen 74
740049	Egevænget 74
740050	Ellebrinken 74
740051	Ellebæk Parkvej 74
740052	Elleparken 74
740053	Elmehøjvej 74
740054	Elmosevej 74
740055	Elverdalsvej 74
740056	Enemærket 74
740057	Engdalgårdsvej 74
740058	Engdalsvej 74
740059	Engdalsvej 74A
740060	Engdalsvej 74B
740061	Engdalsvej 74C
740062	Engelstoft 74
740063	Engelundsvej 74
740064	Enghaven, Haveforening 74
740065	Engholms Alle 74
740066	Engskovbakken 74
740067	Engskovgård 74
740068	Engskovvænget 74
740069	Ertebjerg 74A
740070	Ertebjerg 74B
740071	Espedalen 74
740072	Fjældevænget 74
740073	Flintebakken 74
740074	Fortevej 74
740075	Frederiksgade 74
740076	Frederiksgade 74B
740077	Frederiksgade 74C
740078	Frederiksgade 74A
740079	Frederiksgade 74D
740080	Frederiksgade 74E
740081	Frederiksgade 74F
740082	Frederiksgade 74G
740083	Frisenholt 74
740084	Fritiden, Haveforening 74
740085	Frydenlund, Haveforening 74
740086	Frøkærparken 74
740087	Fuglebakkevej 74
740088	Fuglesangs Alle 74
740089	Fuldenvej 74
740090	Fårupvej 74
740091	Gammel Kirkevej 74
740092	Gammel Viborgvej 74
740093	Grumstolsvej 74
740094	Grænsen, Haveforening 74
740095	Grøndalsvej 74
740096	Grønhøjvej 74
740097	Grønløkke Alle 74
740098	Grønnegade 74
740099	Gudrunsvej 74
740100	Gustav Holms Vej 74
740101	Hammershusvej 74
740102	Hans Egedes Vej 74
740103	Haslevangsvej 74
740104	Hasseltoften 74
740105	Havkærvænget 74
740106	Hejredalsvej 74
740107	Henrik Hertz Vej 74
740108	Hindbærhaven 74
740109	Hjortshøjparken 74
740110	Hjortshøjvangen 74
740111	Holme Parkvej 74A
740112	Holme Parkvej 74B
740113	Holmegårdsvej 74
740114	Holmetoften 74
740115	Holmkærvej 74
740116	Holmstruphøjvej 74
740117	Hovedgaden 74
740118	Humlehaven, Haveforening 74
740119	Hvedebjergvej 74
740120	Hyldehaven 74
740121	Højager 74
740122	Højvangsvej 74
740123	Hørhavevej 74
740124	Hørretløkken 74
740125	Hørretvej 74
740126	Ingasvej 74
740127	Ingerslevvej 74
740128	Ivar Huitfeldts Gade 74
740129	J.P.Larsens Vej 74
740130	Jarlsmindevej 74
740131	Jens Baggesens Vej 74
740132	Jernaldervænget 74
740133	Johannes Ewalds Vej 74
740134	Julsøvej 74
740135	Jættehøjen 74
740136	Kalkærparken 74
740137	Kanehaven 74
740138	Karensvej 74
740139	Karetmagertoften 74
740140	Kastanjehaven 74
740141	Kattrupvej 74
740142	Ketting Parkvej 74
740143	Kildehaven 74
740144	Kildehøjen 74
740145	Kirkevænget 74
740146	Kirsebærhaven 74
740147	Klokkerbakken 74
740148	Klokkerfaldet 74
740149	Klostergade 74
740150	Kløvervangen 74
740151	Kolt Kirkevej 74
740152	Kolt Østervej 74
740153	Kolt Østerparken 74
740154	Kornbakke Alle 74
740155	Kornelvej 74
740156	Kornmodsbakken 74
740157	Korshøjen 74
740158	Krekærlunds Alle 74
740159	Kresten Kolds Vej 74
740160	Kridthøjvænge 74
740161	Krogagre 74
740162	Kunnerupvej 74
740163	Kærgårdsparken 74
740164	Kærgårdsvej 74
740165	Ladefogedvej 74
740166	Langballevej 74
740167	Langballevænget 74
740168	Langelinie 74
740169	Langenæs Alle 74
740170	Langørvej 74
740171	Laskedalen 74
740172	Laurbærvænget 74
740173	Lauritshøj 74
740174	Lerdalen 74
740175	Lille Elstedvej 74
740176	Lykkesholms Alle 74
740177	Lystruplund 74
740178	Lærkehaven 74
740179	Løgten Østervej 74
740180	Løgtenvej 74
740181	Løgtenvej 74A
740182	Majsmarken 74
740183	Majsvænget 74
740184	Manbjergvej 74
740185	Marienlyst, Haveforening 74
740186	Marselis Boulevard 74
740187	Mejlgade 74
740188	Moselund, Haveforening 74
740189	Moselunden 74
740190	Mosegårdsparken 74
740191	Mosevang, Haveforening 74
740192	Møddebro Parkvej 74
740193	Neptunvej 74
740194	Niels Juels Gade 74
740195	Nordlandsvej 74
740196	Nordre Strandvej 74A
740197	Nordre Strandvej 74C
740198	Nordre Strandvej 74D
740199	Nordre Strandvej 74B
740200	Nordre Strandvej 74E
740201	Nordrevej 74
740202	Nordvestpassagen 74
740203	Ny Munkegade 74
740204	Ny Munkegade 74B
740205	Nygårdsvej 74
740206	Nyløkkevej 74
740207	Nymarks Alle 74
740208	Nymarksvej 74
740209	Nyringen 74
740210	Næringen 74
740211	Næshøjvej 74
740212	Nødkær Alle 74
740213	Nørre Alle 74
740214	Nørrevænget 74
740215	Obstrupvej 74
740216	Oddervej 74
740217	Oldjorden, Haveforening 74
740218	Ole Rømers Gade 74
740219	Onsholtvej 74A
740220	Onsholtvej 74B
740221	Onsholtgårdsvej 74
740222	Ormslevvej 74
740223	Pilegårdsvej 74
740224	Pilevangen 74
740225	Pottemagertoften 74
740226	Præsteager 74
740227	Præstegårdsvej 74
740228	Præstehaven 74
740229	Risskov Haveforening 74
740230	Risvang Alle 74
740231	Roukær Alle 74
740232	Rugbjergvej 74
740233	Rugmarken 74
740234	Rundhøj Alle 74
740235	Ryhaven 74
740236	Rymarken 74
740237	Ryslingeparken 74
740238	Rødlundvej 74
740239	Rønnehaven 74
740240	Rønnevangen 74
740241	Råhøjparken 74
740242	Sadelmagertoften 74
740243	Salamanderparken 74
740244	Salamandervænget 74
740245	Samsøgade 74
740246	Sandbakken 74
740247	Sandkåsvej 74
740248	Sandmosevej 74
740249	Sensommervej 74
740250	Silkeborgvej 74
740251	Sjællandsgade 74
740252	Sjællandsgade 74B
740253	Skejbygårdsvej 74
740254	Skejby Vænge 74
740255	Skelagervej 74
740256	Skejbyparken 74
740257	Skoleparken 74
740258	Skovgårdsvænget 74
740259	Skovhøj 74
740260	Skovlundgårdsvej 74
740261	Skovparken 74
740262	Skærgårdsparken 74
740263	Skæring Hedevej 74
740264	Skæring Parkvej 74
740265	Skæring Sandager 74
740266	Skæringvangen 74
740267	Skødstrupbakken 74
740268	Skåde Højgårdsvej 74
740269	Sletvej 74
740270	Snogebæksvej 74
740271	Solbjerg Hovedgade 74
740272	Solbjerg Hedevej 74
740273	Solbærhaven 74
740274	Solvangen, Haveforening 74
740275	Sommersmindevej 74
740276	Spobjergvej 74
740277	St.Blichers Vej 74
740278	Stadion Alle 74
740279	Stavnsvej 74
740280	Stennehøj Alle 74
740281	Stillingvej 74
740282	Stokbrovej 74
740283	Storskovvej 74
740284	Strandvangsvej 74
740285	Søbakkevej 74
740286	Søholm, Haveforening 74
740287	Søhøjen 74
740288	Søndergade 74
740289	Søndervangen 74
740290	Søren Frichs Vej 74
740291	Søskrænten 74
740292	Søvang, Haveforening 74
740293	Terp Skovvej 74
740294	Thomas Thaarups Vej 74
740295	Tilst Søndervej 74A
740296	Tilst Søndervej 74B
740297	Tilst Søndervej 74C
740298	Tilst Søndervej 74D
740299	Tilst Søndervej 74E
740300	Tilst Søndervej 74F
740301	Tingskov Alle 74
740302	Tingskovparken 74
740303	Tingskovvej 74
740304	Tingstedet 74
740305	Tisetvej 74
740306	Tisetvej 74A
740307	Tisetvej 74B
740308	Tordenskjoldsgade 74
740309	Tornebakken 74
740310	Tornhøjvej 74
740311	Torshøjvænget 74
740312	Torstilgårdsvej 74
740313	Torvevænget 74
740314	Tousvej 74
740315	Tranbjerg Hovedgade 74
740316	Trankærgårdsvej 74
740317	Trankær Vænge 74
740318	Trige Centervej 74
740319	Trige Møllevej 74
740320	Trillegården, Haveforening 74
740321	Trillegårdsvej 74
740322	Tronkærgårdsvej 74
740323	Trøjborgvej 74
740324	Udsigten 74
740325	Urmagertoften 74
740326	Veilgårdsparken 74
740327	Vejlby Toften 74
740328	Vejlby Vænge 74
740329	Vestergårdsvangen 74
740330	Vesterled, Haveforening 74
740331	Vestermøllevej 74
740332	Vestre Ringgade 74
740333	Vestre Strandalle 74
740334	Vilhelm Becks Vej 74
740335	Virup Skovvej 74
740336	Visbjerg Hegn 74
740337	Vistoftparken 74
740338	Voldbækvej 74
740339	Vosnæsparken 74
740340	Ørvadsvej 74
740341	Østerby Alle 74
740342	Østergårdstoften 74
740343	Østerløkken 74
740344	Østermarksvej 74
740345	Åbrinken, Haveforening 74
740346	Åbyhøjgård 74
740347	Åtoften 74
730002	Abildhaven 73
730003	Agernvej 73
730004	Balagervej 73
730005	Balskærvej 73
730006	Bangsboparken 73
730007	Bavnegårdsvej 73
730008	Bavnebakken 73A
730009	Bavnebakken 73B
730010	Bernstorffsvej 73
730011	Bethesdavej 73
730012	Bispehavevej 73
730013	Bjødstrupvej 73
730014	Bjødstrupvej 73A
730015	Blomsterlunden 73
730016	Blåbærhaven 73
730017	Bredgade 73
730018	Bredkær Tværvej 73
730019	Brobjerg Parkvej 73
730020	Bronzealdervej 73
730021	Brovænget 73
730022	Buggesgårdvej 73
730023	Bushøjvænget 73
730024	Byagervej 73
730025	Byagervænget 73
730026	Bymosevej 73
730027	Bysmedevej 73A
730028	Bysmedevej 73B
730029	Bærmosehøjen 73
730030	Bøgeskov Høvej 73
730031	Bøgeskovparken 73
730032	Bøgevangen 73
730033	Børupvej 73
730034	C.A.Thyregods Vej 73
730035	Charlottehøj, Haveforening 73
730036	Chr.Winthers Vej 73
730037	Damgårdstoften 73
730038	Drejøvænget 73
730039	Edwin Rahrs Vej 73
730040	Egebjergvej 73
730041	Egebæksvej 73
730042	Egevangen 73
730043	Egå Mosevej 73
730044	Ellebrinken 73
730045	Elleparken 73
730046	Elmehaven 73
730047	Elmosevej 73
730048	Elstedvej 73
730049	Elverdalsvej 73
730050	Emiliedalen 73
730051	Engdalsvej 73
730052	Engdalsvej 73A
730053	Engdalsvej 73B
730054	Engelstoft 73
730055	Engelundsvej 73
730056	Enghaven, Haveforening 73
730057	Engskovbakken 73
730058	Eshøjvej 73
730059	Espedalen 73
730060	Fenrisvej 73
730061	Finsensgade 73
730062	Flintebakken 73
730063	Fredensborgparken 73
730064	Frederik Barfoeds Vej 73
730065	Frederiksgade 73
730066	Fridtjof Nansens Vej 73
730067	Fritiden, Haveforening 73
730068	Frydenlund, Haveforening 73
730069	Frydenlunds Alle 73
730070	Fuglesangs Alle 73
730071	Fårupvej 73
730072	Gammel Horsensvej 73
730073	Gammel Horsensvej 73A
730074	Gammel Kirkevej 73
730075	Gammel Landevej 73
730076	Gammel Viborgvej 73
730077	Gartnerhaven 73
730078	Gartnerparken 73
730079	Gartnervænget 73
730080	Grumstolsvej 73
730081	Grænsen, Haveforening 73
730082	Græsvangen 73
730083	Grønhøjvej 73
730084	Haslegårdsvej 73
730085	Haslevangsvej 73
730086	Haslevej 73
730087	Hasselbakken 73
730088	Hasselhøj 73
730089	Hasselengen 73
730090	Hasselvangen 73
730091	Hattemagertoften 73
730092	Havbakkevej 73
730093	Havkærvej 73
730094	Helenelyst 73
730095	Henrik Hertz Vej 73
730096	Herredsvej 73
730097	Hesselballevej 73
730098	Hindbærhaven 73
730099	Hjortshøj Møllevej 73
730100	Hjortshøjparken 73
730101	Hjulbjergvej 73
730102	Holme Parkvej 73
730103	Holmegårdsvej 73
730104	Holmkærvej 73
730105	Holmstruphøjvej 73
730106	Horsevænget 73
730107	Hovedgaden 73
730108	Hovvejen 73
730109	Humlehaven, Haveforening 73
730110	Hybenhaven 73
